"Description","Value","Replicate.Name","Area.Value","Area.with.QC","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.Name","Run.Type","SN.Flag","Area.Min.Flag","RT.Flag","Blank.Flag","all.Flags"
NA,NA,"171013_Poo_TruePooInc1_Full1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Full2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Full3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Full4",1338,NA,204.102,7.265,0.2180282,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Half1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Half2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Half3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Poo_TruePooInc1_Half4",1143,NA,204.102,7.24,0.1873742,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_DSW700m_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_DSW700m_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_DSW700m_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1Control_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1Control_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1Control_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1Control5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1Control5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1Control5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMB_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMB_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMB_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMB5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMB5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMB5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMBnoBT_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMBnoBT_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DMBnoBT5um_1",4455,NA,204.102,7.256,0.3211608,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IL1DMBnoBT5um_2",1362,NA,204.102,7.104,0.2225686,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IL1DMBnoBT5um_3",1264,NA,204.102,7.139,0.2061771,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IL1DSW_1",1430,NA,204.102,7.259,0.2386381,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IL1DSW_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DSW_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DSW5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DSW5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1DSW5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1noBT_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1noBT_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1noBT_3",1766,NA,204.102,7.206,0.2934048,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IL1noBT5um_1",1495,NA,204.102,7.226,0.2445266,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IL1noBT5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1noBT5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1WBT_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1WBT_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1WBT_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1WBT5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1WBT5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IL1WBT5um_3",1282,NA,204.102,7.125,0.2097524,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171013_Smp_IT0_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IT0_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IT0_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IT05um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IT05um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Smp_IT05um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171013_Std_250nMStdinAqMatrix_1",1963385,1963385,204.102,7.208,136.9486,3648,"3 Indolebutyric Acid","std",NA,NA,NA,NA,NA
NA,NA,"171013_Std_250nMStdinAqMatrix_2",8702947,8702947,204.102,7.207,679.1783,3648,"3 Indolebutyric Acid","std",NA,NA,NA,NA,NA
NA,NA,"171013_Std_250nMStdinH2O_1",2233476,2233476,204.102,7.207,155.9479,3648,"3 Indolebutyric Acid","std",NA,NA,NA,NA,NA
NA,NA,"171013_Std_250nMStdinH2O_2",10133548,10133548,204.102,7.209,768.2766,3648,"3 Indolebutyric Acid","std",NA,NA,NA,NA,NA
NA,NA,"171030_Blk_ProcessBlk_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","blk","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Blk_ProcessBlk_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","blk","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Blk_ProcessBlk_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","blk","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_Sept29QC_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_Sept29QC_2",1246,NA,204.102,7.109,0.2001027,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Poo_TruePooInc2_dda1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_dda2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_dda3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_dda4",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Full1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Full2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Full3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Full4",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Half1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Half2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Half3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Poo_TruePooInc2_Half4",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","poo","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_DSW700m_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_DSW700m_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_DSW700m_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2Control_1",3723,NA,204.102,7.171,0.2238857,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Smp_IL2Control_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2Control_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2Control5um_1",321,NA,204.102,7.106,0.1369291,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Smp_IL2Control5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2Control5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMB_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMB_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMB_3",1467,NA,204.102,7.247,0.2368883,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Smp_IL2DMB5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMB5um_1.2nd.Inj",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMB5um_2",119,NA,204.102,7.107,0.07638241,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Smp_IL2DMB5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMBnoBT_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMBnoBT_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMBnoBT_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMBnoBT5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMBnoBT5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DMBnoBT5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DSW_1",1156,NA,204.102,7.239,0.1860102,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Smp_IL2DSW_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DSW_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DSW5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DSW5um_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DSW5um_2.2nd.Inj",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2DSW5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2noBT_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2noBT_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2noBT_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2noBT5um_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2noBT5um_1.2nd.Inj",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2noBT5um_2",32,NA,204.102,7.107,0.04063264,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag",NA,NA,"SN.Flag, Area.Min.Flag, "
NA,NA,"171030_Smp_IL2noBT5um_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2WBT_1",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2WBT_2",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
NA,NA,"171030_Smp_IL2WBT_3",0,NA,204.102,0,0,3648,"3 Indolebutyric Acid","smp","SN.Flag","Area.Min.Flag","RT.Flag",NA,"SN.Flag, Area.Min.Flag, RT.Flag, "
